,title,link
0,"Colossal 2400-foot asteroid, 4 other space rocks to buzz Earth soon",https://news.google.com/articles/CBMifWh0dHBzOi8vdGVjaC5oaW5kdXN0YW50aW1lcy5jb20vcGhvdG9zL2NvbG9zc2FsLTI0MDAtZm9vdC1hc3Rlcm9pZC00LW90aGVyLXNwYWNlLXJvY2tzLXRvLWJ1enotZWFydGgtc29vbi03MTY3NjAwODU5NDkyNi5odG1s0gGBAWh0dHBzOi8vdGVjaC5oaW5kdXN0YW50aW1lcy5jb20vYW1wL3Bob3Rvcy9jb2xvc3NhbC0yNDAwLWZvb3QtYXN0ZXJvaWQtNC1vdGhlci1zcGFjZS1yb2Nrcy10by1idXp6LWVhcnRoLXNvb24tNzE2NzYwMDg1OTQ5MjYuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
1,NASA Astronomy Picture of the Day 10 February 2023: Awesome! Comet ZTF meets Comet ATLAS,https://news.google.com/articles/CBMilAFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL3RlY2gvbmV3cy9uYXNhLWFzdHJvbm9teS1waWN0dXJlLW9mLXRoZS1kYXktMTAtZmVicnVhcnktMjAyMy1hd2Vzb21lLWNvbWV0LXp0Zi1tZWV0cy1jb21ldC1hdGxhcy03MTY3NjAyMDk1Njc5Ny5odG1s0gGYAWh0dHBzOi8vdGVjaC5oaW5kdXN0YW50aW1lcy5jb20vYW1wL3RlY2gvbmV3cy9uYXNhLWFzdHJvbm9teS1waWN0dXJlLW9mLXRoZS1kYXktMTAtZmVicnVhcnktMjAyMy1hd2Vzb21lLWNvbWV0LXp0Zi1tZWV0cy1jb21ldC1hdGxhcy03MTY3NjAyMDk1Njc5Ny5odG1s?hl=en-US&gl=US&ceid=US%3Aen
2,Asteroid warning! 239-foot asteroid discovered speeding towards Earth by NASA,https://news.google.com/articles/CBMiigFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL3RlY2gvbmV3cy9hc3Rlcm9pZC13YXJuaW5nLTIzOS1mb290LWFzdGVyb2lkLWRpc2NvdmVyZWQtc3BlZWRpbmctdG93YXJkcy1lYXJ0aC1ieS1uYXNhLTcxNjc1MTQwMzA5ODkyLmh0bWzSAY4BaHR0cHM6Ly90ZWNoLmhpbmR1c3RhbnRpbWVzLmNvbS9hbXAvdGVjaC9uZXdzL2FzdGVyb2lkLXdhcm5pbmctMjM5LWZvb3QtYXN0ZXJvaWQtZGlzY292ZXJlZC1zcGVlZGluZy10b3dhcmRzLWVhcnRoLWJ5LW5hc2EtNzE2NzUxNDAzMDk4OTIuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
3,"Rare, green comet to pass by Earth Wednesday",https://news.google.com/articles/CBMiUGh0dHBzOi8vYWJjbmV3cy5nby5jb20vVVMvZ3JlZW4tY29tZXQtcGFzcy1lYXJ0aC1zdGFydGluZy13ZWVrL3N0b3J5P2lkPTk2MzM1MjQy0gFUaHR0cHM6Ly9hYmNuZXdzLmdvLmNvbS9hbXAvVVMvZ3JlZW4tY29tZXQtcGFzcy1lYXJ0aC1zdGFydGluZy13ZWVrL3N0b3J5P2lkPTk2MzM1MjQy?hl=en-US&gl=US&ceid=US%3Aen
4,Earth facing danger from a skyscraper-sized asteroid! Close approach today,https://news.google.com/articles/CBMihwFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL3RlY2gvbmV3cy9lYXJ0aC1mYWNpbmctZGFuZ2VyLWZyb20tYS1za3lzY3JhcGVyLXNpemVkLWFzdGVyb2lkLWNsb3NlLWFwcHJvYWNoLXRvZGF5LTcxNjczODMyOTE2MzkxLmh0bWzSAYsBaHR0cHM6Ly90ZWNoLmhpbmR1c3RhbnRpbWVzLmNvbS9hbXAvdGVjaC9uZXdzL2VhcnRoLWZhY2luZy1kYW5nZXItZnJvbS1hLXNreXNjcmFwZXItc2l6ZWQtYXN0ZXJvaWQtY2xvc2UtYXBwcm9hY2gtdG9kYXktNzE2NzM4MzI5MTYzOTEuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
5,Truck-Sized Asteroid About to Make Close Pass Over South America ...,https://news.google.com/articles/CBMihwFodHRwczovL3d3dy5hdXRvZXZvbHV0aW9uLmNvbS9uZXdzL3RydWNrLXNpemVkLWFzdGVyb2lkLWFib3V0LXRvLW1ha2UtY2xvc2UtcGFzcy1vdmVyLXNvdXRoLWFtZXJpY2EtaGFzLWFzdHJvbm9tZXJzLXRhbGtpbmctMjA5MTU3Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
6,"UK snow maps show '1,000km Beast from the East 2' coming as Met Office issue warning",https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmRhaWx5c3Rhci5jby51ay9uZXdzL2xhdGVzdC1uZXdzL3VrLXNub3ctbWFwcy1zaG93LTEwMDBrbS0yOTE2Mzc5NNIBUmh0dHBzOi8vd3d3LmRhaWx5c3Rhci5jby51ay9uZXdzL2xhdGVzdC1uZXdzL3VrLXNub3ctbWFwcy1zaG93LTEwMDBrbS0yOTE2Mzc5NC5hbXA?hl=en-US&gl=US&ceid=US%3Aen
7,'Planet killer' asteroid spotted hiding in the sun's glare,https://news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8xMC8zMS93b3JsZC9wb3RlbnRpYWxseS1oYXphcmRvdXMtbmVhci1lYXJ0aC1hc3Rlcm9pZC1zY24vaW5kZXguaHRtbNIBYWh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjIvMTAvMzEvd29ybGQvcG90ZW50aWFsbHktaGF6YXJkb3VzLW5lYXItZWFydGgtYXN0ZXJvaWQtc2NuL2luZGV4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
8,NASA Program Predicted Impact of Small Asteroid Over Ontario ...,https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LmpwbC5uYXNhLmdvdi9uZXdzL25hc2EtcHJvZ3JhbS1wcmVkaWN0ZWQtaW1wYWN0LW9mLXNtYWxsLWFzdGVyb2lkLW92ZXItb250YXJpby1jYW5hZGHSAQA?hl=en-US&gl=US&ceid=US%3Aen
9,Building-size asteroids are barreling toward Earth,https://news.google.com/articles/CBMiOmh0dHBzOi8vd3d3LmxpdmVzY2llbmNlLmNvbS9uZWFyLWVhcnRoLWFzdGVyb2lkcy1qdWx5LTIwMjLSAQA?hl=en-US&gl=US&ceid=US%3Aen
10,"2 big asteroids whiz past Earth in the next week. No, they definitely ...",https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnNwYWNlLmNvbS9hc3Rlcm9pZC1mbHlieXMtZWFydGgtbm8tdGhyZWF0LW1heS0yMDIy0gEA?hl=en-US&gl=US&ceid=US%3Aen
11,Asteroid 2022 OE2 close encounter coming Aug. 4,https://news.google.com/articles/CBMiM2h0dHBzOi8vd3d3LmxpdmVzY2llbmNlLmNvbS9hc3Rlcm9pZC0yMDIyLW9lMi1mbHliedIBAA?hl=en-US&gl=US&ceid=US%3Aen
12,NASA Asteroid Threat Practice Drill Shows We’re Not Ready,https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LnNjaWVudGlmaWNhbWVyaWNhbi5jb20vYXJ0aWNsZS9uYXNhLWFzdGVyb2lkLXRocmVhdC1wcmFjdGljZS1kcmlsbC1zaG93cy13ZXJlLW5vdC1yZWFkeS_SAW1odHRwczovL3d3dy5zY2llbnRpZmljYW1lcmljYW4uY29tL2FydGljbGUvbmFzYS1hc3Rlcm9pZC10aHJlYXQtcHJhY3RpY2UtZHJpbGwtc2hvd3Mtd2VyZS1ub3QtcmVhZHkvP2FtcD10cnVl?hl=en-US&gl=US&ceid=US%3Aen
13,Asteroid Alert: Massive asteroid hurtling towards Earth! Watch out on Oct 2,https://news.google.com/articles/CBMihwFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL3RlY2gvbmV3cy9hc3Rlcm9pZC1hbGVydC1tYXNzaXZlLWFzdGVyb2lkLWh1cnRsaW5nLXRvd2FyZHMtZWFydGgtd2F0Y2gtb3V0LW9uLW9jdC0yLTcxNjY0NTEzOTIyNzgxLmh0bWzSAYsBaHR0cHM6Ly90ZWNoLmhpbmR1c3RhbnRpbWVzLmNvbS9hbXAvdGVjaC9uZXdzL2FzdGVyb2lkLWFsZXJ0LW1hc3NpdmUtYXN0ZXJvaWQtaHVydGxpbmctdG93YXJkcy1lYXJ0aC13YXRjaC1vdXQtb24tb2N0LTItNzE2NjQ1MTM5MjI3ODEuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
14,"A monstrously large, 'potentially hazardous' asteroid will zip through ...",https://news.google.com/articles/CBMiRGh0dHBzOi8vd3d3LmxpdmVzY2llbmNlLmNvbS9oYWxsb3dlZW4tYXN0ZXJvaWQtcG90ZW50aWFsbHktaGF6YXJkb3Vz0gEA?hl=en-US&gl=US&ceid=US%3Aen
15,Tsunami from dinosaur-killing asteroid had mile-high waves and ...,https://news.google.com/articles/CBMiTWh0dHBzOi8vd3d3LmxpdmVzY2llbmNlLmNvbS9kaW5vc2F1ci1raWxsaW5nLWFzdGVyb2lkLXRyaWdnZXJlZC1naWFudC10c3VuYW1p0gEA?hl=en-US&gl=US&ceid=US%3Aen
16,"Gigantic Asteroid Is About to Skim Past Earth, NASA Says",https://news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LnNjaWVuY2VhbGVydC5jb20vZ2lnYW50aWMtYXN0ZXJvaWQtaXMtYWJvdXQtdG8tc2tpbS1wYXN0LWVhcnRoLW5hc2Etc2F5c9IBWGh0dHBzOi8vd3d3LnNjaWVuY2VhbGVydC5jb20vZ2lnYW50aWMtYXN0ZXJvaWQtaXMtYWJvdXQtdG8tc2tpbS1wYXN0LWVhcnRoLW5hc2Etc2F5cy9hbXA?hl=en-US&gl=US&ceid=US%3Aen
17,Largest asteroid ever to hit Earth was twice as big as the rock that ...,https://news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LmxpdmVzY2llbmNlLmNvbS92cmVkZWZvcnQtYXN0ZXJvaWQtYmlnZ2VyLXRoYW4tZXhwZWN0ZWTSAQA?hl=en-US&gl=US&ceid=US%3Aen
18,"Asteroids, climate change, killer robots: A handy guide to doomsday ...",https://news.google.com/articles/CBMiUGh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9tYWdhemluZS8yMDIyLzExLzA3L2Rvb21zZGF5LXNjZW5hcmlvcy1hc3Rlcm9pZHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
19,How NASA Launched Its Asteroid Killer,https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3Lm5ld3lvcmtlci5jb20vdGVjaC9hbm5hbHMtb2YtdGVjaG5vbG9neS9ob3ctbmFzYS1sYXVuY2hlZC1pdHMtYXN0ZXJvaWQta2lsbGVy0gEA?hl=en-US&gl=US&ceid=US%3Aen
20,Giant Asteroid Unleashed a Devastating Martian Megatsunami ...,https://news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LnNjaWVuY2VhbGVydC5jb20vZ2lhbnQtYXN0ZXJvaWQtdW5sZWFzaGVkLWEtZGV2YXN0YXRpbmctbWFydGlhbi1tZWdhdHN1bmFtaS1ldmlkZW5jZS1zdWdnZXN0c9IBbWh0dHBzOi8vd3d3LnNjaWVuY2VhbGVydC5jb20vZ2lhbnQtYXN0ZXJvaWQtdW5sZWFzaGVkLWEtZGV2YXN0YXRpbmctbWFydGlhbi1tZWdhdHN1bmFtaS1ldmlkZW5jZS1zdWdnZXN0cy9hbXA?hl=en-US&gl=US&ceid=US%3Aen
21,Asteroid 2022 KY4 makes its closest-ever approach on July 17,https://news.google.com/articles/CBMiPGh0dHBzOi8vd3d3LmxpdmVzY2llbmNlLmNvbS9hc3Rlcm9pZC0yMDIyLWt5NC1jbG9zZS1hcHByb2FjaNIBAA?hl=en-US&gl=US&ceid=US%3Aen
22,NASA proved it can deflect an asteroid. But spotting them is tricky.,https://news.google.com/articles/CBMiTWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS90ZWNobm9sb2d5LzIwMjIvMTAvMjQvbmFzYS1hc3Rlcm9pZC10ZWxlc2NvcGUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
23,Watch asteroid 7335 (1989 JA) sweep past today and tomorrow,https://news.google.com/articles/CBMiT2h0dHBzOi8vZWFydGhza3kub3JnL3NwYWNlL2xhcmdlLWFzdGVyb2lkLTczMzUtMTk4OS1qYS1wYXNzLXNhZmVseS1tYXktMjctMjAyMi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
24,The DART mission successfully changed the motion of an asteroid,https://news.google.com/articles/CBMiTGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8xMC8xMS93b3JsZC9uYXNhLWRhcnQtc3VjY2Vzcy11cGRhdGUtc2NuL2luZGV4Lmh0bWzSAVBodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIyLzEwLzExL3dvcmxkL25hc2EtZGFydC1zdWNjZXNzLXVwZGF0ZS1zY24vaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
25,Scientists Glimpse Incoming Asteroid Just Hours Before It Makes ...,https://news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LnNjaWVuY2VhbGVydC5jb20vc2NpZW50aXN0cy1nbGltcHNlLWluY29taW5nLWFzdGVyb2lkLWp1c3QtaG91cnMtYmVmb3JlLWl0LW1ha2VzLWltcGFjdNIBZ2h0dHBzOi8vd3d3LnNjaWVuY2VhbGVydC5jb20vc2NpZW50aXN0cy1nbGltcHNlLWluY29taW5nLWFzdGVyb2lkLWp1c3QtaG91cnMtYmVmb3JlLWl0LW1ha2VzLWltcGFjdC9hbXA?hl=en-US&gl=US&ceid=US%3Aen
26,White House Wants NASA to Slow Hunt for Killer Asteroids in ...,https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA5LTAxL2tpbGxlci1hc3Rlcm9pZC1zZWFyY2gtaGl0cy1idW1wLWFzLWJpZGVuLXRlYW0tdXJnZXMtbmFzYS1kZWxhedIBAA?hl=en-US&gl=US&ceid=US%3Aen
27,Astronomers work every night in Hawaiʻi to protect Earth from ...,https://news.google.com/articles/CBMif2h0dHBzOi8va2F1YWlub3duZXdzLmNvbS8yMDIyLzEwLzAyL2FzdHJvbm9tZXJzLXdvcmstZXZlcnktbmlnaHQtaW4taGF3YWklQ0ElQkJpLXRvLXByb3RlY3QtZWFydGgtZnJvbS1hc3Rlcm9pZHMtYmlnLWFuZC1zbWFsbC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
28,Largest asteroid to approach Earth in 2022 will zoom past our planet this week,https://news.google.com/articles/CBMiSWh0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDIyLTA1LWxhcmdlc3QtYXN0ZXJvaWQtYXBwcm9hY2gtZWFydGgtcGxhbmV0Lmh0bWzSAUhodHRwczovL3BoeXMub3JnL25ld3MvMjAyMi0wNS1sYXJnZXN0LWFzdGVyb2lkLWFwcHJvYWNoLWVhcnRoLXBsYW5ldC5hbXA?hl=en-US&gl=US&ceid=US%3Aen
29,Noble gases and nitrogen in samples of asteroid Ryugu record its ...,https://news.google.com/articles/CBMiM2h0dHBzOi8vd3d3LnNjaWVuY2Uub3JnL2RvaS8xMC4xMTI2L3NjaWVuY2UuYWJvMDQzMdIBAA?hl=en-US&gl=US&ceid=US%3Aen
